@relation ConsolidatedTrainData

@attribute frame.len numeric
@attribute eth.padding numeric 
@attribute tcp.len numeric
@attribute tcp.seq numeric
@attribute tcp.srcport numeric
@attribute tcp.dstport numeric
@attribute tcp.flags.fin numeric 
@attribute tcp.flags.syn numeric 
@attribute tcp.flags.reset numeric 
@attribute tcp.flags.push numeric
@attribute tcp.flags.ack numeric 
@attribute tcp.window_size numeric 
@attribute tcp.segment_data numeric
@attribute type {SYNFLOOD,NORMAL,SLOWLORISHTTPDOS}

@data

60,0,0,1,8460,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8461,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8462,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8463,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8464,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8465,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8466,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8467,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8468,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8469,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8470,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8471,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8472,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8473,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8474,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8475,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8476,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8477,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8481,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8482,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8483,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8484,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8485,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8486,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8487,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8488,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8489,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8490,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8491,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8492,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8493,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8494,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8495,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8496,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8497,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8498,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8499,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8500,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8501,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8502,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8503,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8504,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8505,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8506,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8507,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8508,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8509,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8510,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8511,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8512,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8513,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8514,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8515,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8516,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8517,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8518,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8519,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8520,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8521,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8522,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8523,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8524,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8525,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8526,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8527,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8528,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8529,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8530,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8531,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8532,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8533,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8534,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8535,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8536,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8537,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8538,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8539,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8540,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8541,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8542,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8543,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8544,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8545,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8546,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8547,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8548,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8549,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8550,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8551,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8552,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8553,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8554,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8555,80,0,0,1,0,0,0,0,SYNFLOOD
60,0,0,1,8556,80,0,0,1,0,0,0,0,SYNFLOOD
